sample	sample_type.samples
TCGA-69-7978-01A	0
TCGA-AR-A24Z-01A	1
TCGA-D1-A103-01A	2
TCGA-24-1435-01A	3
TCGA-63-A5MB-01A	4
TCGA-CN-A63V-01A	5
TCGA-BP-5176-01A	6
TCGA-EA-A5ZD-01A	7
TCGA-AB-2815-11C	8
TCGA-AB-2815-11B	8
TCGA-EK-A2PG-01A	7
TCGA-24-1923-01A	3
TCGA-VP-A872-01A	9
TCGA-32-1986-01A	10
TCGA-2J-AABF-01A	11
TCGA-E7-A5KF-01A	12
TCGA-24-0966-01A	3
TCGA-29-1705-01A	3
TCGA-EY-A1GH-01A	2
TCGA-97-7552-01A	0
TCGA-DX-A3U6-01A	13
TCGA-BJ-A3PR-01A	14
TCGA-EY-A1G8-01A	2
TCGA-CQ-6221-01A	5
TCGA-06-2566-01A	10
TCGA-A4-A5XZ-01A	15
TCGA-FX-A3NK-01A	13
TCGA-WC-A882-01A	16
TCGA-DD-A1EC-11A	8
TCGA-DV-5568-01A	6
TCGA-DD-A1EG-01A	17
TCGA-FS-A1ZN-01A	18
TCGA-OR-A5L9-01A	19
TCGA-KK-A7AP-11A	8
TCGA-P5-A737-01A	20
TCGA-BR-8682-01A	21
TCGA-D3-A3C7-06A	18
TCGA-D8-A143-01A	1
TCGA-CV-7091-11A	8
TCGA-G9-6499-01A	9
TCGA-DU-7309-01A	20
TCGA-QR-A6GX-01A	22
TCGA-DD-AADI-01A	17
TCGA-BP-5008-01A	6
TCGA-WB-A81K-01A	22
TCGA-24-0970-01B	3
TCGA-3B-A9HX-01A	13
TCGA-04-1644-01A	3
TCGA-04-1644-01B	3
TCGA-2G-AAFG-01A	23
TCGA-A6-2672-01B	24
TCGA-02-0047-01A	10
TCGA-CQ-A4CA-01A	5
TCGA-FK-A4UB-01A	14
TCGA-AB-3007-11A	8
TCGA-EA-A439-01A	7
TCGA-P5-A77X-01A	20
TCGA-WE-A8K1-06A	18
TCGA-EB-A5UL-06A	18
TCGA-22-0940-11A	8
TCGA-13-0792-01A	3
TCGA-CR-7389-01A	5
TCGA-B6-A0IC-01A	1
TCGA-HC-7821-01A	9
TCGA-CN-A498-01A	5
TCGA-3Q-A9WF-01A	25
TCGA-91-6836-11A	8
TCGA-AB-2815-11A	8
TCGA-49-AAR4-11A	8
TCGA-C5-A8XK-01A	7
TCGA-BR-4253-11A	8
TCGA-BP-4759-01A	6
TCGA-WB-A80Q-01A	22
TCGA-AB-2858-03A	26
TCGA-Q1-A6DW-01A	7
TCGA-NC-A5HM-01A	4
TCGA-06-0675-11A	8
TCGA-14-1458-01A	10
TCGA-CN-4736-01A	5
TCGA-EC-A24G-01A	2
TCGA-A8-A0A4-01A	1
TCGA-D7-5577-01A	21
TCGA-B0-5109-11A	8
TCGA-KC-A7FE-01A	9
TCGA-KL-8327-01A	27
TCGA-HC-A6AN-01A	9
TCGA-DX-A3UB-01A	13
TCGA-CJ-5677-11A	8
TCGA-06-0159-01A	10
TCGA-B6-A0WZ-01A	1
TCGA-2G-AAH0-01A	23
TCGA-10-0935-11A	8
TCGA-L5-A893-01A	28
TCGA-AA-A02R-01A	24
TCGA-A8-A08A-01A	1
TCGA-AR-A1AN-01A	1
TCGA-AB-2858-03C	26
TCGA-EM-A4FF-01A	14
TCGA-FR-A44A-06A	18
TCGA-AO-A0J4-01A	1
TCGA-LN-A49P-01A	28
TCGA-MP-A4T9-01A	0
TCGA-12-5301-01A	10
TCGA-25-1630-01A	3
TCGA-BR-7196-01A	21
TCGA-A2-A0D3-01A	1
TCGA-CZ-5456-11A	8
TCGA-OR-A5L8-01A	19
TCGA-4V-A9QR-01A	25
TCGA-02-0016-01A	10
TCGA-N5-A4RD-01A	29
TCGA-HC-7210-01A	9
TCGA-BH-A0H3-01A	1
TCGA-AT-A5NU-01A	15
TCGA-J2-A4AE-01A	0
TCGA-CH-5766-11A	8
TCGA-LL-A5YN-01A	1
TCGA-H2-A3RH-01A	14
TCGA-AR-A1AP-01A	1
TCGA-PR-A5PG-01A	22
TCGA-ET-A25P-01A	14
TCGA-E2-A1IO-01A	1
TCGA-EM-A22N-01A	14
TCGA-EM-A2CJ-01A	14
TCGA-BR-4366-11A	8
TCGA-WE-AAA3-06A	18
TCGA-KS-A4IC-11A	8
TCGA-2L-AAQM-01A	11
TCGA-55-1592-11A	8
TCGA-16-1047-01B	10
TCGA-HQ-A2OE-01A	12
TCGA-85-8052-01A	4
TCGA-IA-A83T-11A	8
TCGA-62-A46R-01A	0
TCGA-06-A5U1-01A	10
TCGA-BJ-A45J-11A	8
TCGA-B5-A11F-01A	2
TCGA-AF-6136-01A	30
TCGA-G3-A7M5-01A	17
TCGA-B4-5835-01A	6
TCGA-B5-A11E-01A	2
TCGA-ZB-A96G-01A	25
TCGA-X7-A8DF-01A	25
TCGA-86-8055-01A	0
TCGA-KM-A7Q9-01B	27
TCGA-DC-6154-01A	30
TCGA-OR-A5L5-01A	19
TCGA-IC-A6RF-11A	8
TCGA-V4-A9F4-01A	16
TCGA-EW-A1P8-01A	1
TCGA-VS-A8EK-01A	7
TCGA-HT-7902-01A	20
TCGA-EL-A3D0-01A	14
TCGA-B5-A0K7-01A	2
TCGA-24-2023-11A	8
TCGA-S7-A7X0-01A	22
TCGA-39-5031-01A	4
TCGA-P3-A6T7-01A	5
TCGA-04-1335-01A	3
TCGA-21-1072-01A	4
TCGA-5L-AAT1-01A	1
TCGA-BA-4077-01B	5
TCGA-13-0924-01A	3
TCGA-43-6773-01A	4
TCGA-VN-A88I-01A	9
TCGA-EL-A3H8-01A	14
TCGA-CD-8529-01A	21
TCGA-17-Z039-01A	0
TCGA-BR-6457-01A	21
TCGA-KM-A7QK-01C	27
TCGA-QU-A6IL-01A	9
TCGA-06-0157-01A	10
TCGA-HU-A4HD-01A	21
TCGA-AB-2877-03A	26
TCGA-C5-A1MF-01A	7
TCGA-DB-5276-01A	20
TCGA-KN-8432-01A	27
TCGA-YU-A90W-01A	23
TCGA-AB-2863-03D	26
TCGA-BA-4078-01A	5
TCGA-AB-2863-03B	26
TCGA-74-6577-01A	10
TCGA-FE-A3PD-01A	14
TCGA-AA-3488-01A	24
TCGA-L9-A8F4-01A	0
TCGA-EI-6514-01A	30
TCGA-CJ-5678-11A	8
TCGA-DK-A3WX-01A	12
TCGA-B0-4693-01A	6
TCGA-AB-2971-11A	8
TCGA-BS-A0TJ-01A	2
TCGA-HT-7676-01A	20
TCGA-61-2003-01A	3
TCGA-39-5039-11A	8
TCGA-39-5021-01A	4
TCGA-24-2298-01A	3
TCGA-IB-AAUT-01A	11
TCGA-EJ-7781-11A	8
TCGA-R5-A7ZR-01A	21
TCGA-A8-A06X-01A	1
TCGA-B0-4714-01A	6
TCGA-24-1545-01A	3
TCGA-B0-5115-11A	8
TCGA-14-1794-01A	10
TCGA-CJ-4923-01A	6
TCGA-D1-A3DG-01A	2
TCGA-XU-AAY1-01A	25
TCGA-AA-3862-01A	24
TCGA-X7-A8DC-01A	25
TCGA-14-0812-01B	10
TCGA-AA-A01V-11A	8
TCGA-B6-A3ZX-01A	1
TCGA-ZJ-AAXJ-01A	7
TCGA-46-3765-01A	4
TCGA-97-7938-01A	0
TCGA-56-8504-01A	4
TCGA-ZJ-AAXT-01A	7
TCGA-EB-A6QZ-01A	18
TCGA-CV-5979-01A	5
TCGA-AX-A3G1-01A	2
TCGA-55-8512-01A	0
TCGA-EA-A3HT-01A	7
TCGA-E2-A10E-01A	1
TCGA-AN-A0XL-01A	1
TCGA-SX-A7SQ-01A	15
TCGA-DB-5280-01A	20
TCGA-CS-6188-01A	20
TCGA-ZB-A96K-01A	25
TCGA-3U-A98I-01A	31
TCGA-FB-AAPZ-01A	11
TCGA-23-1107-01A	3
TCGA-DV-A4VX-01A	6
TCGA-A5-A0G1-01A	2
TCGA-AK-3434-01A	6
TCGA-AA-3492-01A	24
TCGA-BR-6452-11A	8
TCGA-CN-4737-01A	5
TCGA-05-5428-01A	0
TCGA-DA-A960-01A	18
TCGA-A5-A0GA-01A	2
TCGA-CJ-4638-01A	6
TCGA-CQ-5325-01A	5
TCGA-24-2026-01A	3
TCGA-D3-A51F-06A	18
TCGA-CV-5976-01A	5
TCGA-AB-2992-03A	26
TCGA-CX-7082-01A	5
TCGA-13-1819-01A	3
TCGA-DC-6157-01A	30
TCGA-30-1853-01A	3
TCGA-FV-A2QQ-01A	17
TCGA-P7-A5NX-01A	22
TCGA-YC-A89H-01A	12
TCGA-13-0883-01A	3
TCGA-FZ-5926-01A	11
TCGA-61-1741-01A	3
TCGA-DA-A1IA-06A	18
TCGA-EE-A2MF-06A	18
TCGA-KM-8442-01A	27
TCGA-A2-A04W-01A	1
TCGA-CV-6959-01A	5
TCGA-AP-A0LM-01A	2
TCGA-32-1976-01A	10
TCGA-C5-A1M5-01A	7
