Gene_stable_ID	CHR
ENSG00000210049	MT
ENSG00000211459	MT
ENSG00000210077	MT
ENSG00000210082	MT
ENSG00000209082	MT
ENSG00000198888	MT
ENSG00000210100	MT
ENSG00000210107	MT
ENSG00000210112	MT
ENSG00000198763	MT
ENSG00000210117	MT
ENSG00000210127	MT
ENSG00000210135	MT
ENSG00000210140	MT
ENSG00000210144	MT
ENSG00000198804	MT
ENSG00000210151	MT
ENSG00000210154	MT
ENSG00000198712	MT
ENSG00000210156	MT
ENSG00000228253	MT
ENSG00000198899	MT
ENSG00000198938	MT
ENSG00000210164	MT
ENSG00000198840	MT
ENSG00000210174	MT
ENSG00000212907	MT
ENSG00000198886	MT
ENSG00000210176	MT
ENSG00000210184	MT
ENSG00000210191	MT
ENSG00000198786	MT
ENSG00000198695	MT
ENSG00000210194	MT
ENSG00000198727	MT
ENSG00000210195	MT
ENSG00000210196	MT
ENSG00000215601	Y
ENSG00000215603	Y
ENSG00000231341	Y
ENSG00000231436	Y
ENSG00000234795	Y
ENSG00000225878	Y
ENSG00000236435	Y
ENSG00000278478	Y
ENSG00000258991	Y
ENSG00000237048	Y
ENSG00000147761	Y
ENSG00000224518	Y
ENSG00000231988	Y
ENSG00000238073	Y
ENSG00000275866	Y
ENSG00000237427	Y
ENSG00000131538	Y
ENSG00000271595	Y
ENSG00000183704	Y
ENSG00000233944	Y
ENSG00000232927	Y
ENSG00000240450	Y
ENSG00000229250	Y
ENSG00000239225	Y
ENSG00000277438	Y
ENSG00000147753	Y
ENSG00000228786	Y
ENSG00000259154	Y
ENSG00000169789	Y
ENSG00000231874	Y
ENSG00000273589	Y
ENSG00000226061	Y
ENSG00000273863	Y
ENSG00000280961	Y
ENSG00000231514	Y
ENSG00000235511	Y
ENSG00000228571	Y
ENSG00000227633	Y
ENSG00000223407	Y
ENSG00000234744	Y
ENSG00000226504	Y
ENSG00000232845	Y
ENSG00000271375	Y
ENSG00000169811	Y
ENSG00000235001	Y
ENSG00000224634	Y
ENSG00000226092	Y
ENSG00000225516	Y
ENSG00000212856	Y
ENSG00000277930	Y
ENSG00000129862	Y
ENSG00000236620	Y
ENSG00000228890	Y
ENSG00000234620	Y
ENSG00000236690	Y
ENSG00000273693	Y
ENSG00000114374	Y
ENSG00000232235	Y
ENSG00000239893	Y
ENSG00000169849	Y
ENSG00000224827	Y
ENSG00000169807	Y
ENSG00000225287	Y
ENSG00000227867	Y
ENSG00000234110	Y
ENSG00000230029	Y
ENSG00000223422	Y
ENSG00000215506	Y
ENSG00000224571	Y
ENSG00000231159	Y
ENSG00000225653	Y
ENSG00000251618	Y
ENSG00000229159	Y
ENSG00000223406	Y
ENSG00000234803	Y
ENSG00000228578	Y
ENSG00000233652	Y
ENSG00000231411	Y
ENSG00000187657	Y
ENSG00000275280	Y
ENSG00000270242	Y
ENSG00000236477	Y
ENSG00000243040	Y
ENSG00000232614	Y
ENSG00000244231	Y
ENSG00000215507	Y
ENSG00000129816	Y
ENSG00000237023	Y
ENSG00000237997	Y
ENSG00000244246	Y
ENSG00000223636	Y
ENSG00000239304	Y
ENSG00000234950	Y
ENSG00000275347	CHR_HSCHR17_7_CTG4
ENSG00000198692	Y
ENSG00000224482	Y
ENSG00000214207	Y
ENSG00000237823	Y
ENSG00000232634	Y
ENSG00000235981	Y
ENSG00000234583	Y
ENSG00000183753	Y
ENSG00000225433	Y
ENSG00000227871	Y
ENSG00000232205	Y
ENSG00000227166	Y
ENSG00000228379	Y
ENSG00000235857	Y
ENSG00000223955	Y
ENSG00000237195	Y
ENSG00000237447	Y
ENSG00000185700	Y
ENSG00000270455	Y
ENSG00000173357	Y
ENSG00000229940	Y
ENSG00000279115	Y
ENSG00000225256	Y
ENSG00000226873	Y
ENSG00000234385	Y
ENSG00000226863	Y
ENSG00000212855	Y
ENSG00000224210	Y
ENSG00000233156	Y
ENSG00000237968	Y
ENSG00000224408	Y
ENSG00000233699	Y
ENSG00000236718	Y
ENSG00000271365	Y
ENSG00000259029	Y
ENSG00000226369	Y
ENSG00000224866	Y
ENSG00000216844	Y
ENSG00000235451	Y
ENSG00000226223	Y
ENSG00000224657	Y
ENSG00000231716	Y
ENSG00000235895	Y
ENSG00000223744	Y
ENSG00000172294	Y
ENSG00000233740	Y
ENSG00000231540	Y
ENSG00000224240	Y
ENSG00000215537	Y
ENSG00000254488	Y
ENSG00000230476	Y
ENSG00000236615	Y
ENSG00000183146	Y
ENSG00000225840	Y
ENSG00000229745	Y
ENSG00000232914	Y
ENSG00000227915	Y
ENSG00000225466	Y
ENSG00000223655	Y
ENSG00000242393	Y
ENSG00000172342	Y
ENSG00000223856	Y
ENSG00000225326	Y
ENSG00000227204	Y
ENSG00000172297	Y
ENSG00000275828	Y
ENSG00000232617	Y
ENSG00000237269	Y
ENSG00000232424	Y
ENSG00000229709	Y
ENSG00000225615	Y
ENSG00000230663	Y
ENSG00000232522	Y
ENSG00000237302	Y
ENSG00000234131	Y
ENSG00000277519	Y
ENSG00000259247	Y
ENSG00000224336	Y
ENSG00000273731	Y
ENSG00000236951	Y
ENSG00000235014	Y
ENSG00000215583	Y
ENSG00000274162	Y
ENSG00000229208	Y
ENSG00000129845	Y
ENSG00000227444	Y
ENSG00000238154	Y
ENSG00000232003	Y
ENSG00000226918	Y
ENSG00000229416	Y
ENSG00000233774	Y
ENSG00000225491	Y
ENSG00000232475	Y
ENSG00000228764	Y
ENSG00000232226	Y
ENSG00000224567	Y
ENSG00000241200	Y
ENSG00000228518	Y
ENSG00000227447	Y
ENSG00000274231	Y
ENSG00000274502	Y
